Date : 2025-05-07 17:00:21
Directory : d:\Code\WeChatProjects\HeartChat
Total : 344 files,  83278 codes, 6152 comments, 15840 blanks, all 105270 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\3.2前后端技术方案.md                                            | Markdown   |        558 |          0 |        160 |        718 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\3.3.1智谱AI接口集成架构.md                                       | Markdown   |        407 |          0 |         83 |        490 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\3.3.2对话生成与情感分析模型.md                                      | Markdown   |        459 |          0 |        122 |        581 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\3.3AI服务集成方案.md                                           | Markdown   |         58 |          0 |         32 |         90 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\3.4.1情感分析算法.md                                           | Markdown   |        405 |          0 |        113 |        518 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\3.4.2用户画像构建算法.md                                         | Markdown   |      1,023 |          0 |        178 |      1,201 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\3.4.3 角色对话生成算法.md                                        | Markdown   |      1,065 |          0 |        205 |      1,270 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\3.4核心算法设计.md                                             | Markdown   |        147 |          0 |         79 |        226 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\3.4核心算法设计_new.md                                         | Markdown   |         66 |          0 |         21 |         87 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\3.5 数据可视化技术.md                                           | Markdown   |      1,032 |          0 |        120 |      1,152 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\3.5 数据可视化技术_new.md                                       | Markdown   |         49 |          0 |         26 |         75 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\4.1.1页面设计与交互.md                                          | Markdown   |        112 |          0 |         48 |        160 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\4.1.2组件化开发.md                                            | Markdown   |        282 |          0 |         52 |        334 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\4.1.3暗夜模式适配.md                                           | Markdown   |        530 |          0 |         85 |        615 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\作品简介和创新描述.md                                             | Markdown   |         11 |          0 |         11 |         22 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\目录.md                                                    | Markdown   |         53 |          0 |          8 |         61 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\目录更新版.md                                                 | Markdown   |         79 |          0 |          8 |         87 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\第1章作品概述.md                                               | Markdown   |          9 |          0 |          9 |         18 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\第2章问题分析.md                                               | Markdown   |        103 |          0 |         53 |        156 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\第3章技术方案.md                                               | Markdown   |        257 |          0 |         16 |        273 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\第4章系统实现.md                                               | Markdown   |        267 |          0 |         96 |        363 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\第5章测试分析.md                                               | Markdown   |        128 |          0 |         76 |        204 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\第6章作品总结.md                                               | Markdown   |         66 |          0 |         38 |        104 |
| d:\Code\WeChatProjects\HeartChat\README.md                                                                | Markdown   |      1,426 |          0 |        445 |      1,871 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\analysis\bigmodel.js                                      | JavaScript |        511 |        122 |         72 |        705 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\analysis\index.js                                         | JavaScript |        752 |        220 |        127 |      1,099 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\analysis\keywordClassifier.js                             | JavaScript |        225 |         46 |         28 |        299 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\analysis\keywordEmotionLinker.js                          | JavaScript |        136 |         39 |         32 |        207 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\analysis\keywords.js                                      | JavaScript |        196 |         55 |         33 |        284 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\analysis\package.json                                     | JSON       |         10 |          0 |          1 |         11 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\analysis\test.js                                          | JavaScript |         86 |         14 |         10 |        110 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\analysis\userInterestAnalyzer.js                          | JavaScript |        182 |         66 |         41 |        289 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\chat\bigmodel.js                                          | JavaScript |        106 |         42 |         20 |        168 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\chat\index.js                                             | JavaScript |        812 |        124 |        157 |      1,093 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\chat\package.json                                         | JSON       |         15 |          0 |          1 |         16 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\clearDatabase\index.js                                    | JavaScript |         68 |         11 |         13 |         92 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\clearDatabase\package.json                                | JSON       |          9 |          0 |          0 |          9 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\emotion\index.js                                          | JavaScript |        182 |         45 |         39 |        266 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\emotion\package.json                                      | JSON       |         14 |          0 |          1 |         15 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\generateDailyReports\config.json                          | JSON       |          9 |          0 |          0 |          9 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\generateDailyReports\index.js                             | JavaScript |        146 |         32 |         23 |        201 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\generateDailyReports\package.json                         | JSON       |         14 |          0 |          0 |         14 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\getEmotionRecords\index.js                                | JavaScript |         86 |         11 |         16 |        113 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\getEmotionRecords\package.json                            | JSON       |         14 |          0 |          1 |         15 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\getIflytekSttUrl\index.js                                 | JavaScript |         38 |         19 |         13 |         70 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\getIflytekSttUrl\package.json                             | JSON       |          9 |          0 |          1 |         10 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\getRoleInfo\index.js                                      | JavaScript |         40 |          4 |          7 |         51 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\getRoleInfo\package.json                                  | JSON       |         14 |          0 |          1 |         15 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\httpRequest\index.js                                      | JavaScript |         39 |         15 |         10 |         64 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\httpRequest\package.json                                  | JSON       |         15 |          0 |          1 |         16 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\httpRequest\test.js                                       | JavaScript |         36 |          8 |          7 |         51 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\initReportCollections\index.js                            | JavaScript |         78 |         21 |         11 |        110 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\initReportCollections\package.json                        | JSON       |         14 |          0 |          1 |         15 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\login\index.js                                            | JavaScript |        208 |         25 |         35 |        268 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\login\package.json                                        | JSON       |         14 |          0 |          1 |         15 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\roles\index.js                                            | JavaScript |        574 |         75 |        110 |        759 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\roles\init-roles.js                                       | JavaScript |         85 |          7 |         12 |        104 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\roles\memoryManager.js                                    | JavaScript |        271 |         40 |         52 |        363 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\roles\package.json                                        | JSON       |         14 |          0 |          1 |         15 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\roles\promptGenerator.js                                  | JavaScript |        180 |         24 |         32 |        236 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\roles\test-zhipu.js                                       | JavaScript |         71 |         14 |         14 |         99 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\roles\userPerception.js                                   | JavaScript |        243 |         30 |         42 |        315 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\testDatabase\index.js                                     | JavaScript |         55 |          8 |          9 |         72 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\testDatabase\package.json                                 | JSON       |          9 |          0 |          0 |          9 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\user\createIndexes.js                                     | JavaScript |        166 |         32 |         27 |        225 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\user\index.js                                             | JavaScript |        906 |        185 |        151 |      1,242 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\user\package.json                                         | JSON       |         14 |          0 |          1 |         15 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\user\userInterests.js                                     | JavaScript |        603 |        130 |        114 |        847 |
| d:\Code\WeChatProjects\HeartChat\cloudfunctions\user\userPerception_new.js                                | JavaScript |        446 |        107 |         83 |        636 |
| d:\Code\WeChatProjects\HeartChat\code_review_report.md                                                    | Markdown   |         26 |          0 |          8 |         34 |
| d:\Code\WeChatProjects\HeartChat\code_review_todolist.md                                                  | Markdown   |        232 |          0 |         77 |        309 |
| d:\Code\WeChatProjects\HeartChat\docs\使用文档\语音输入功能使用指南.md                                                  | Markdown   |         59 |          0 |         40 |         99 |
| d:\Code\WeChatProjects\HeartChat\fix_plan.md                                                              | Markdown   |        115 |          0 |         32 |        147 |
| d:\Code\WeChatProjects\HeartChat\fix_report.md                                                            | Markdown   |        147 |          0 |         22 |        169 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\__tests__\app.test.ts                                        | TypeScript |         51 |          1 |          9 |         61 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\app.js                                                       | JavaScript |        239 |         59 |         43 |        341 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\app.json                                                     | JSON       |         84 |          0 |          0 |         84 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\app.wxss                                                     | CSS        |         96 |         11 |         17 |        124 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\ec-canvas\ec-canvas.js                            | JavaScript |        247 |         10 |         28 |        285 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\ec-canvas\ec-canvas.json                          | JSON       |          4 |          0 |          0 |          4 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\ec-canvas\ec-canvas.wxml                          | wxml       |          2 |          2 |          1 |          5 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\ec-canvas\ec-canvas.wxss                          | CSS        |          4 |          0 |          1 |          5 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\ec-canvas\echarts.js                              | JavaScript |          3 |         40 |          3 |         46 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\ec-canvas\echarts.wxss                            | CSS        |          0 |          3 |          1 |          4 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\ec-canvas\wx-canvas.js                            | JavaScript |         87 |         10 |         15 |        112 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\ec-canvas\wx-echarts.js                           | JavaScript |          1 |          4 |          2 |          7 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-analysis\emotion-analysis.js              | JavaScript |        308 |         66 |         46 |        420 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-analysis\emotion-analysis.json            | JSON       |          4 |          0 |          1 |          5 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-analysis\emotion-analysis.wxml            | wxml       |         84 |          7 |          7 |         98 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-analysis\emotion-analysis.wxss            | CSS        |        309 |         11 |         64 |        384 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-card\index.json                           | JSON       |          4 |          0 |          0 |          4 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-card\index.ts                             | TypeScript |         61 |         12 |          7 |         80 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-card\index.wxml                           | wxml       |         51 |          5 |          3 |         59 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-card\index.wxss                           | CSS        |        187 |         16 |         32 |        235 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-dashboard\emotion-dashboard.js            | JavaScript |        809 |        101 |         61 |        971 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-dashboard\emotion-dashboard.json          | JSON       |          6 |          0 |          1 |          7 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-dashboard\emotion-dashboard.wxml          | wxml       |        159 |         13 |         14 |        186 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-dashboard\emotion-dashboard.wxss          | CSS        |        439 |         17 |         92 |        548 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-history\emotion-history.js                | JavaScript |         87 |         26 |         16 |        129 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-history\emotion-history.json              | JSON       |          4 |          0 |          1 |          5 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-history\emotion-history.wxml              | wxml       |         42 |         12 |          8 |         62 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-history\emotion-history.wxss              | CSS        |        227 |         26 |         42 |        295 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-panel\emotion-panel.js                    | JavaScript |         83 |         25 |         11 |        119 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-panel\emotion-panel.json                  | JSON       |          6 |          0 |          1 |          7 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-panel\emotion-panel.wxml                  | wxml       |         77 |          7 |         13 |         97 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-panel\emotion-panel.wxss                  | CSS        |        266 |         34 |         54 |        354 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-pie\emotion-pie.js                        | JavaScript |        125 |         35 |         12 |        172 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-pie\emotion-pie.json                      | JSON       |          4 |          0 |          1 |          5 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-pie\emotion-pie.wxml                      | wxml       |        112 |          9 |          5 |        126 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\emotion-pie\emotion-pie.wxss                      | CSS        |         97 |         14 |         14 |        125 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\interest-tag-cloud\interest-tag-cloud.js          | JavaScript |        184 |         47 |         25 |        256 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\interest-tag-cloud\interest-tag-cloud.json        | JSON       |          4 |          0 |          1 |          5 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\interest-tag-cloud\interest-tag-cloud.wxml        | wxml       |         41 |          1 |          5 |         47 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\interest-tag-cloud\interest-tag-cloud.wxss        | CSS        |         89 |          1 |         17 |        107 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\login\index.js                                    | JavaScript |         73 |          5 |         17 |         95 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\login\index.json                                  | JSON       |          4 |          0 |          0 |          4 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\login\index.wxml                                  | wxml       |         27 |          6 |          5 |         38 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\login\index.wxss                                  | CSS        |         82 |          0 |         13 |         95 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\role-card\role-card.js                            | JavaScript |         51 |         32 |          9 |         92 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\role-card\role-card.json                          | JSON       |          4 |          0 |          0 |          4 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\role-card\role-card.wxml                          | wxml       |         33 |          4 |          5 |         42 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\components\role-card\role-card.wxss                          | CSS        |        157 |          5 |         27 |        189 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\config\index.js                                              | JavaScript |        130 |         30 |          7 |        167 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\images\icons\back.svg                                        | SVG        |          3 |          0 |          1 |          4 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageChat\components\chat-bubble\index.js                  | JavaScript |         87 |         25 |         11 |        123 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageChat\components\chat-bubble\index.json                | JSON       |          4 |          0 |          1 |          5 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageChat\components\chat-bubble\index.wxml                | wxml       |         11 |          5 |          3 |         19 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageChat\components\chat-bubble\index.wxss                | CSS        |        113 |          8 |         16 |        137 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageChat\components\chat-input\index.js                   | JavaScript |        366 |        149 |         76 |        591 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageChat\components\chat-input\index.json                 | JSON       |          4 |          0 |          1 |          5 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageChat\components\chat-input\index.wxml                 | wxml       |         58 |         10 |          7 |         75 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageChat\components\chat-input\index.wxss                 | CSS        |        367 |         14 |         59 |        440 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageChat\pages\chat\chat.js                               | JavaScript |      1,338 |        367 |        255 |      1,960 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageChat\pages\chat\chat.json                             | JSON       |          9 |          0 |          1 |         10 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageChat\pages\chat\chat.wxml                             | wxml       |        130 |         19 |         20 |        169 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageChat\pages\chat\chat.wxss                             | CSS        |        373 |         27 |         63 |        463 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageChat\pages\emotion-analysis\emotion-analysis.js       | JavaScript |        493 |         91 |         64 |        648 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageChat\pages\emotion-analysis\emotion-analysis.json     | JSON       |         10 |          0 |          1 |         11 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageChat\pages\emotion-analysis\emotion-analysis.wxml     | wxml       |         73 |          8 |          4 |         85 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageChat\pages\emotion-analysis\emotion-analysis.wxss     | CSS        |        192 |          5 |         35 |        232 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageEmotion\pages\daily-report\daily-report.js            | JavaScript |        829 |        145 |        106 |      1,080 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageEmotion\pages\daily-report\daily-report.json          | JSON       |          8 |          0 |          1 |          9 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageEmotion\pages\daily-report\daily-report.wxml          | wxml       |        171 |         19 |         15 |        205 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageEmotion\pages\daily-report\daily-report.wxss          | CSS        |        591 |         21 |        109 |        721 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageEmotion\pages\emotion-history\emotion-history.js      | JavaScript |      1,206 |        255 |        211 |      1,672 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageEmotion\pages\emotion-history\emotion-history.json    | JSON       |          9 |          0 |          1 |         10 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageEmotion\pages\emotion-history\emotion-history.plan.md | Markdown   |        172 |          0 |         42 |        214 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageEmotion\pages\emotion-history\emotion-history.wxml    | wxml       |        149 |         16 |         14 |        179 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\packageEmotion\pages\emotion-history\emotion-history.wxss    | CSS        |        414 |         20 |         92 |        526 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\agreement\agreement-common.wxss                        | CSS        |        101 |          4 |         23 |        128 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\agreement\agreement.wxss                               | CSS        |         45 |          0 |          9 |         54 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\agreement\privacy.js                                   | JavaScript |         34 |          8 |          8 |         50 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\agreement\privacy.json                                 | JSON       |          3 |          0 |          1 |          4 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\agreement\privacy.ts                                   | TypeScript |         11 |          0 |          1 |         12 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\agreement\privacy.wxml                                 | wxml       |         84 |          2 |          9 |         95 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\agreement\privacy.wxss                                 | CSS        |          1 |          2 |          2 |          5 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\agreement\service.js                                   | JavaScript |         34 |          8 |          8 |         50 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\agreement\service.json                                 | JSON       |          3 |          0 |          1 |          4 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\agreement\service.ts                                   | TypeScript |         11 |          0 |          1 |         12 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\agreement\service.wxml                                 | wxml       |         74 |          2 |          8 |         84 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\agreement\service.wxss                                 | CSS        |          1 |          2 |          2 |          5 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\home\home.js                                           | JavaScript |        448 |        138 |         89 |        675 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\home\home.json                                         | JSON       |          6 |          0 |          1 |          7 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\home\home.wxml                                         | wxml       |         87 |          8 |          8 |        103 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\home\home.wxss                                         | CSS        |        297 |         10 |         57 |        364 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\keywordTest\keywordTest.js                             | JavaScript |         55 |         16 |         10 |         81 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\keywordTest\keywordTest.json                           | JSON       |          4 |          0 |          1 |          5 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\keywordTest\keywordTest.wxml                           | wxml       |         49 |          3 |          4 |         56 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\keywordTest\keywordTest.wxss                           | CSS        |        103 |          1 |         16 |        120 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\prompt-editor\prompt-editor.js                         | JavaScript |        201 |         40 |         32 |        273 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\prompt-editor\prompt-editor.json                       | JSON       |          6 |          0 |          1 |          7 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\prompt-editor\prompt-editor.wxml                       | wxml       |         52 |          7 |          6 |         65 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\prompt-editor\prompt-editor.wxss                       | CSS        |        172 |          8 |         27 |        207 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\role-editor\index.js                                   | JavaScript |        607 |        129 |        107 |        843 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\role-editor\index.json                                 | JSON       |          6 |          0 |          1 |          7 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\role-editor\index.wxml                                 | wxml       |        184 |         11 |         23 |        218 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\role-editor\index.wxss                                 | CSS        |        580 |         13 |        106 |        699 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\role-select\role-select.js                             | JavaScript |        443 |        133 |         91 |        667 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\role-select\role-select.json                           | JSON       |          8 |          0 |          1 |          9 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\role-select\role-select.wxml                           | wxml       |        212 |         21 |         27 |        260 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\role-select\role-select.wxss                           | CSS        |        500 |         16 |         89 |        605 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\user\profile\profile.js                                | JavaScript |        424 |        122 |         91 |        637 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\user\profile\profile.json                              | JSON       |          6 |          0 |          1 |          7 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\user\profile\profile.wxml                              | wxml       |        159 |         11 |         16 |        186 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\user\profile\profile.wxss                              | CSS        |        452 |         26 |         88 |        566 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\user\user.js                                           | JavaScript |        958 |        209 |        182 |      1,349 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\user\user.json                                         | JSON       |         11 |          0 |          1 |         12 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\user\user.wxml                                         | wxml       |        122 |         15 |         17 |        154 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\user\user.wxss                                         | CSS        |        378 |         17 |         68 |        463 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\welcome\welcome.js                                     | JavaScript |         96 |         34 |         23 |        153 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\welcome\welcome.json                                   | JSON       |          5 |          0 |          1 |          6 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\welcome\welcome.wxml                                   | wxml       |         56 |          6 |          5 |         67 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\pages\welcome\welcome.wxss                                   | CSS        |        149 |          9 |         27 |        185 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\services\chatCacheService.js                                 | JavaScript |        198 |         65 |         36 |        299 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\services\cloudFuncCaller.js                                  | JavaScript |        119 |         36 |         25 |        180 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\services\emotionService.js                                   | JavaScript |        829 |        234 |        151 |      1,214 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\services\eventBus.js                                         | JavaScript |        126 |         51 |         30 |        207 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\services\focusAnalysisService.js                             | JavaScript |        138 |         59 |         28 |        225 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\services\imageService.js                                     | JavaScript |        239 |         80 |         50 |        369 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\services\keywordService.js                                   | JavaScript |        333 |        101 |         48 |        482 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\services\personalityService.js                               | JavaScript |        199 |         76 |         35 |        310 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\services\reportService.js                                    | JavaScript |        105 |         30 |         14 |        149 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\services\userInterestsService.js                             | JavaScript |        408 |        128 |         77 |        613 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\services\userService.js                                      | JavaScript |        222 |         99 |         48 |        369 |
| d:\Code\WeChatProjects\HeartChat\miniprogram\services\voiceService.js                                     | JavaScript |        307 |        114 |         65 |        486 |
